Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
14062,330.0,3.0,25.0,Simulation,120.0,0.03,0.0,0.0,0.0,0.04
12627,424.0,16.0,27.0,Action,3.0,0.0,0.0,0.06,0.0,0.06
10182,484.0,20.0,23.0,Misc,120.0,0.09,0.01,0.0,0.01,0.11
377,69.0,3.0,21.0,Misc,89.0,0.59,1.83,0.73,0.35,3.5
933,332.0,3.0,24.0,Action,37.0,1.34,0.37,0.0,0.15,1.86
5888,356.0,8.0,14.0,Shooter,9.0,0.24,0.06,0.0,0.0,0.3
15365,126.0,5.0,17.0,Racing,35.0,0.01,0.01,0.0,0.0,0.02
1073,54.0,17.0,27.0,Action,9.0,0.8,0.52,0.07,0.3,1.69
3313,190.0,16.0,24.0,Platform,101.0,0.18,0.27,0.0,0.15,0.61
4090,237.0,5.0,20.0,Action,9.0,0.35,0.13,0.0,0.01,0.48
10109,188.0,16.0,26.0,Action,101.0,0.0,0.08,0.0,0.04,0.11
8222,271.0,14.0,26.0,Racing,25.0,0.04,0.1,0.0,0.04,0.17
16492,257.0,13.0,21.0,Racing,28.0,0.01,0.0,0.0,0.0,0.01
5203,34.0,12.0,12.0,Sports,106.0,0.2,0.14,0.0,0.02,0.36
15726,100.0,12.0,16.0,Fighting,87.0,0.01,0.01,0.0,0.0,0.02
8405,352.0,16.0,20.0,Racing,101.0,0.14,0.01,0.0,0.02,0.17
13711,252.0,10.0,26.0,Strategy,122.0,0.0,0.03,0.0,0.01,0.04
15030,206.0,12.0,12.0,Fighting,67.0,0.01,0.01,0.0,0.0,0.02
8076,111.0,17.0,29.0,Role-Playing,16.0,0.07,0.03,0.05,0.03,0.18
5348,65.0,13.0,20.0,Adventure,52.0,0.17,0.13,0.0,0.04,0.35
8673,12.0,24.0,28.0,Strategy,9.0,0.11,0.04,0.0,0.01,0.16
12389,426.0,6.0,20.0,Sports,29.0,0.05,0.01,0.0,0.0,0.06
631,139.0,12.0,12.0,Role-Playing,105.0,0.93,0.12,1.34,0.06,2.45
738,507.0,4.0,15.0,Platform,89.0,1.11,0.51,0.34,0.23,2.2
14,510.0,20.0,22.0,Sports,89.0,8.94,8.03,3.6,2.15,22.72
7819,411.0,3.0,25.0,Action,9.0,0.17,0.01,0.0,0.01,0.19
12328,228.0,15.0,30.0,Action,91.0,0.02,0.03,0.0,0.01,0.06
15093,29.0,10.0,21.0,Puzzle,45.0,0.0,0.02,0.0,0.0,0.02
5594,394.0,3.0,26.0,Role-Playing,51.0,0.17,0.01,0.12,0.01,0.32
8450,389.0,15.0,30.0,Action,74.0,0.07,0.0,0.08,0.02,0.17
13023,258.0,10.0,22.0,Simulation,78.0,0.0,0.04,0.0,0.01,0.05
12496,307.0,8.0,14.0,Adventure,87.0,0.0,0.0,0.06,0.0,0.06
15638,205.0,13.0,23.0,Action,74.0,0.0,0.0,0.02,0.0,0.02
2013,514.0,16.0,20.0,Racing,101.0,0.47,0.34,0.0,0.22,1.04
686,164.0,12.0,12.0,Action,114.0,0.79,1.35,0.04,0.14,2.32
3238,314.0,19.0,8.0,Strategy,116.0,0.3,0.0,0.32,0.0,0.62
4687,534.0,13.0,25.0,Sports,67.0,0.04,0.21,0.05,0.11,0.41
339,149.0,3.0,24.0,Misc,89.0,0.0,0.0,3.67,0.0,3.67
152,362.0,12.0,13.0,Action,124.0,1.88,1.47,2.02,0.45,5.82
455,464.0,1.0,28.0,Action,89.0,1.4,0.99,0.46,0.22,3.07
8950,16.0,23.0,21.0,Sports,40.0,0.11,0.03,0.0,0.01,0.15
4377,302.0,22.0,27.0,Fighting,87.0,0.26,0.14,0.01,0.04,0.45
3655,442.0,22.0,22.0,Action,120.0,0.47,0.04,0.0,0.04,0.55
4381,262.0,12.0,10.0,Action,87.0,0.0,0.0,0.42,0.03,0.45
7653,37.0,15.0,31.0,Shooter,114.0,0.05,0.11,0.01,0.03,0.2
2230,402.0,20.0,23.0,Racing,100.0,0.5,0.32,0.02,0.1,0.93
14901,460.0,19.0,9.0,Action,20.0,0.0,0.0,0.03,0.0,0.03
13498,316.0,1.0,28.0,Simulation,116.0,0.0,0.0,0.04,0.0,0.04
1026,97.0,14.0,29.0,Shooter,9.0,0.67,0.66,0.12,0.27,1.73
10202,304.0,13.0,18.0,Simulation,116.0,0.05,0.04,0.0,0.01,0.11
12866,226.0,3.0,25.0,Misc,38.0,0.05,0.0,0.0,0.0,0.05
1955,290.0,8.0,13.0,Sports,79.0,1.02,0.04,0.0,0.01,1.06
4503,374.0,23.0,16.0,Sports,40.0,0.32,0.09,0.0,0.02,0.43
672,209.0,4.0,10.0,Platform,89.0,0.69,0.14,1.48,0.05,2.36
2446,322.0,24.0,31.0,Shooter,9.0,0.52,0.25,0.0,0.08,0.85
6495,233.0,17.0,27.0,Misc,120.0,0.11,0.1,0.01,0.05,0.26
13127,92.0,12.0,14.0,Action,5.0,0.03,0.02,0.0,0.0,0.05
11585,430.0,13.0,17.0,Simulation,77.0,0.04,0.03,0.0,0.01,0.08
1686,501.0,14.0,28.0,Sports,114.0,0.49,0.49,0.0,0.21,1.19
83,127.0,14.0,27.0,Action,40.0,1.06,5.05,0.13,2.01,8.24
16314,406.0,17.0,30.0,Strategy,47.0,0.0,0.01,0.0,0.0,0.01
6321,218.0,16.0,,Action,126.0,0.1,0.11,0.0,0.06,0.27
3072,368.0,10.0,28.0,Misc,120.0,0.35,0.24,0.0,0.07,0.66
3004,0.0,13.0,17.0,Role-Playing,15.0,0.23,0.18,0.2,0.06,0.68
7894,461.0,15.0,31.0,Action,101.0,0.0,0.16,0.0,0.03,0.19
7231,7.0,3.0,23.0,Strategy,111.0,0.17,0.03,0.0,0.02,0.22
14234,122.0,13.0,17.0,Adventure,25.0,0.02,0.01,0.0,0.0,0.03
11281,241.0,3.0,20.0,Fighting,40.0,0.08,0.0,0.0,0.01,0.08
15439,326.0,22.0,28.0,Shooter,91.0,0.0,0.01,0.0,0.0,0.02
3083,310.0,20.0,23.0,Strategy,89.0,0.29,0.14,0.19,0.04,0.66
6326,321.0,5.0,21.0,Platform,9.0,0.19,0.07,0.0,0.0,0.27
4196,74.0,0.0,3.0,Action,9.0,0.44,0.02,0.0,0.0,0.47
9326,229.0,23.0,17.0,Fighting,7.0,0.1,0.03,0.0,0.0,0.14
9992,126.0,13.0,17.0,Racing,40.0,0.05,0.04,0.02,0.01,0.12
10096,163.0,3.0,20.0,Shooter,40.0,0.1,0.0,0.0,0.01,0.11
6908,108.0,5.0,19.0,Adventure,49.0,0.17,0.06,0.0,0.0,0.24
11522,236.0,15.0,31.0,Racing,80.0,0.02,0.05,0.0,0.01,0.08
4263,239.0,1.0,31.0,Action,89.0,0.04,0.16,0.24,0.01,0.46
16185,345.0,16.0,28.0,Misc,60.0,0.0,0.0,0.01,0.0,0.01
14963,217.0,10.0,25.0,Action,126.0,0.01,0.01,0.0,0.0,0.02
8165,72.0,14.0,22.0,Sports,114.0,0.16,0.0,0.0,0.01,0.18
15356,95.0,10.0,26.0,Simulation,,0.0,0.02,0.0,0.0,0.02
12013,160.0,16.0,20.0,Adventure,15.0,0.06,0.0,0.0,0.01,0.07
7063,353.0,22.0,26.0,Action,111.0,0.2,0.02,0.0,0.02,0.23
10332,207.0,3.0,21.0,Simulation,67.0,0.0,0.0,0.11,0.0,0.11
6086,110.0,13.0,21.0,Role-Playing,104.0,0.0,0.0,0.29,0.0,0.29
15860,201.0,17.0,29.0,Adventure,3.0,0.0,0.0,0.02,0.0,0.02
14297,81.0,3.0,23.0,Fighting,87.0,0.0,0.0,0.03,0.0,0.03
2912,288.0,22.0,22.0,Sports,40.0,0.65,0.0,0.0,0.05,0.7
7669,161.0,13.0,18.0,Strategy,9.0,0.1,0.08,0.0,0.03,0.2
1127,333.0,6.0,16.0,Strategy,89.0,0.78,0.25,0.56,0.04,1.63
10013,204.0,14.0,23.0,Misc,67.0,0.11,0.0,0.0,0.01,0.11
16368,440.0,20.0,25.0,Adventure,123.0,0.01,0.0,0.0,0.0,0.01
5082,355.0,22.0,20.0,Shooter,9.0,0.32,0.03,0.0,0.03,0.38
493,435.0,5.0,17.0,Platform,89.0,1.75,0.45,0.62,0.09,2.91
6820,411.0,20.0,25.0,Action,9.0,0.13,0.09,0.0,0.02,0.24
5334,135.0,15.0,30.0,Simulation,66.0,0.1,0.2,0.0,0.05,0.35
5641,150.0,13.0,18.0,Platform,67.0,0.16,0.12,0.0,0.04,0.32
13087,13.0,3.0,24.0,Simulation,96.0,0.0,0.04,0.0,0.01,0.05
14294,249.0,1.0,30.0,Role-Playing,98.0,0.0,0.0,0.03,0.0,0.03
9237,324.0,16.0,21.0,Misc,101.0,0.1,0.0,0.02,0.01,0.14
2366,50.0,13.0,22.0,Misc,101.0,0.32,0.06,0.0,0.5,0.88
12502,282.0,12.0,11.0,Sports,79.0,0.03,0.02,0.0,0.0,0.06
421,1.0,12.0,14.0,Shooter,40.0,1.72,1.33,0.0,0.16,3.21
16099,261.0,16.0,27.0,Action,60.0,0.0,0.0,0.01,0.0,0.01
16265,174.0,16.0,25.0,Adventure,60.0,0.0,0.0,0.01,0.0,0.01
9458,300.0,16.0,25.0,Action,87.0,0.04,0.02,0.05,0.02,0.13
10786,14.0,13.0,21.0,Role-Playing,2.0,0.0,0.0,0.1,0.0,0.1
13475,23.0,17.0,30.0,Role-Playing,116.0,0.0,0.0,0.04,0.0,0.04
2776,221.0,21.0,28.0,Action,126.0,0.31,0.35,0.02,0.06,0.74
12734,465.0,22.0,21.0,Strategy,40.0,0.0,0.05,0.0,0.01,0.06
16208,53.0,22.0,28.0,Shooter,83.0,0.0,0.0,0.01,0.0,0.01
7727,35.0,13.0,20.0,Racing,129.0,0.1,0.07,0.0,0.03,0.2
7738,189.0,3.0,23.0,Simulation,36.0,0.18,0.0,0.0,0.01,0.19
9240,350.0,13.0,21.0,Sports,87.0,0.0,0.0,0.14,0.0,0.14
396,255.0,15.0,30.0,Action,67.0,1.08,1.35,0.48,0.47,3.38
1,511.0,20.0,21.0,Sports,89.0,41.49,29.02,3.77,8.46,82.74
2508,482.0,16.0,20.0,Sports,9.0,0.46,0.21,0.0,0.15,0.82
6298,28.0,0.0,1.0,Racing,9.0,0.26,0.01,0.0,0.0,0.27
8781,180.0,3.0,22.0,Strategy,104.0,0.08,0.01,0.05,0.01,0.15
15437,184.0,20.0,25.0,Adventure,102.0,0.0,0.02,0.0,0.0,0.02
5315,455.0,13.0,19.0,Platform,111.0,0.17,0.13,0.0,0.04,0.35
12927,532.0,15.0,31.0,Action,120.0,0.0,0.04,0.01,0.01,0.05
11615,41.0,16.0,25.0,Fighting,101.0,0.0,0.0,0.08,0.0,0.08
15788,71.0,10.0,19.0,Racing,28.0,0.0,0.01,0.0,0.0,0.02
241,238.0,13.0,21.0,Sports,40.0,3.63,0.24,0.01,0.61,4.49
815,305.0,22.0,22.0,Racing,40.0,1.04,0.8,0.01,0.22,2.06
4629,167.0,14.0,25.0,Misc,72.0,0.19,0.16,0.0,0.07,0.42
2954,235.0,16.0,21.0,Racing,111.0,0.64,0.0,0.0,0.05,0.69
15759,489.0,20.0,28.0,Sports,31.0,0.0,0.02,0.0,0.0,0.02
12163,453.0,15.0,30.0,Adventure,91.0,0.0,0.06,0.0,0.01,0.07
9993,179.0,20.0,26.0,Misc,40.0,0.11,0.0,0.0,0.01,0.12
4611,418.0,5.0,19.0,Action,120.0,0.3,0.11,0.0,0.01,0.42
13855,211.0,5.0,17.0,Role-Playing,87.0,0.0,0.0,0.04,0.0,0.04
14975,443.0,14.0,30.0,Action,87.0,0.0,0.0,0.02,0.0,0.02
3063,142.0,23.0,18.0,Action,111.0,0.48,0.16,0.0,0.02,0.66
15616,485.0,14.0,31.0,Action,116.0,0.0,0.0,0.02,0.0,0.02
15767,404.0,20.0,23.0,Action,104.0,0.0,0.0,0.02,0.0,0.02
7142,94.0,6.0,19.0,Fighting,40.0,0.17,0.05,0.0,0.01,0.22
14066,391.0,16.0,25.0,Adventure,131.0,0.0,0.0,0.04,0.0,0.04
684,198.0,20.0,25.0,Misc,120.0,1.57,0.56,0.0,0.19,2.32
15176,175.0,13.0,22.0,Adventure,74.0,0.0,0.0,0.02,0.0,0.02
13578,203.0,13.0,23.0,Adventure,60.0,0.0,0.0,0.04,0.0,0.04
14654,313.0,16.0,26.0,Adventure,60.0,0.0,0.0,0.03,0.0,0.03
11363,365.0,14.0,30.0,Racing,80.0,0.0,0.06,0.01,0.01,0.08
14221,145.0,19.0,9.0,Role-Playing,30.0,0.0,0.0,0.03,0.0,0.03
10810,303.0,15.0,29.0,Role-Playing,90.0,0.05,0.02,0.02,0.01,0.1
6684,267.0,20.0,22.0,Fighting,79.0,0.21,0.02,0.0,0.02,0.25
411,97.0,24.0,29.0,Shooter,9.0,2.13,0.92,0.0,0.23,3.28
7520,274.0,20.0,24.0,Sports,22.0,0.14,0.04,0.0,0.02,0.2
12913,291.0,23.0,18.0,Sports,79.0,0.04,0.01,0.0,0.0,0.05
11004,85.0,14.0,24.0,Shooter,28.0,0.07,0.01,0.0,0.01,0.09
12687,260.0,16.0,24.0,Sports,101.0,0.0,0.0,0.06,0.0,0.06
7957,328.0,3.0,24.0,Action,67.0,0.0,0.0,0.19,0.0,0.19
11981,504.0,6.0,18.0,Platform,18.0,0.05,0.01,0.0,0.0,0.07
7267,89.0,10.0,26.0,Action,34.0,0.12,0.07,0.0,0.03,0.22
8085,30.0,22.0,25.0,Platform,31.0,0.1,0.06,0.0,0.02,0.18
10537,244.0,3.0,24.0,Misc,73.0,0.09,0.0,0.0,0.01,0.1
7406,463.0,12.0,17.0,Platform,110.0,0.12,0.08,0.0,0.01,0.21
7400,245.0,13.0,18.0,Platform,25.0,0.1,0.08,0.0,0.03,0.21
6062,112.0,13.0,17.0,Strategy,116.0,0.06,0.05,0.16,0.02,0.29
1139,208.0,6.0,18.0,Racing,89.0,1.01,0.11,0.45,0.04,1.62
1525,101.0,12.0,14.0,Role-Playing,87.0,0.56,0.38,0.28,0.08,1.3
16227,309.0,17.0,31.0,Role-Playing,44.0,0.0,0.0,0.01,0.0,0.01
11835,49.0,16.0,25.0,Action,67.0,0.0,0.0,0.07,0.0,0.07
16547,187.0,3.0,22.0,Sports,120.0,0.0,0.0,0.01,0.0,0.01
14050,93.0,12.0,14.0,Role-Playing,116.0,0.02,0.01,0.0,0.0,0.04
14559,43.0,11.0,11.0,Role-Playing,86.0,0.0,0.0,0.03,0.0,0.03
23,434.0,9.0,4.0,Platform,89.0,9.54,3.44,3.84,0.46,17.28
14369,231.0,10.0,18.0,Simulation,120.0,0.0,0.03,0.0,0.01,0.03
13992,468.0,10.0,28.0,Adventure,33.0,0.0,0.03,0.0,0.0,0.04
5466,243.0,20.0,24.0,Role-Playing,9.0,0.26,0.05,0.0,0.03,0.33
14095,60.0,7.0,9.0,Platform,67.0,0.0,0.0,0.04,0.0,0.04
4121,177.0,3.0,20.0,Simulation,97.0,0.41,0.07,0.0,0.0,0.48
4182,506.0,10.0,24.0,Strategy,111.0,0.0,0.45,0.0,0.02,0.47
6374,284.0,6.0,18.0,Sports,40.0,0.21,0.05,0.0,0.01,0.27
14347,24.0,14.0,30.0,Role-Playing,116.0,0.0,0.0,0.03,0.0,0.03
9662,351.0,16.0,27.0,Role-Playing,87.0,0.0,0.0,0.12,0.0,0.12
11056,488.0,12.0,11.0,Action,93.0,0.05,0.03,0.0,0.01,0.09
2456,162.0,3.0,25.0,Role-Playing,89.0,0.56,0.11,0.13,0.05,0.84
13799,21.0,16.0,24.0,Action,31.0,0.04,0.0,0.0,0.0,0.04
11178,195.0,12.0,15.0,Sports,67.0,0.0,0.0,0.08,0.01,0.09
36,55.0,22.0,27.0,Shooter,9.0,8.25,4.3,0.07,1.12,13.73
15766,106.0,10.0,29.0,Role-Playing,45.0,0.0,0.02,0.0,0.0,0.02
1352,103.0,4.0,4.0,Platform,25.0,0.82,0.23,0.35,0.03,1.43
4668,522.0,12.0,12.0,Fighting,25.0,0.16,0.11,0.12,0.03,0.42
526,421.0,22.0,23.0,Action,70.0,1.74,0.8,0.0,0.26,2.8
12275,299.0,13.0,20.0,Action,67.0,0.03,0.02,0.0,0.01,0.06
7997,124.0,14.0,26.0,Simulation,101.0,0.06,0.09,0.0,0.03,0.19
5691,513.0,16.0,22.0,Racing,101.0,0.13,0.12,0.0,0.06,0.32
14973,427.0,3.0,25.0,Action,64.0,0.0,0.0,0.02,0.0,0.02
4290,42.0,12.0,14.0,Fighting,124.0,0.25,0.17,0.0,0.03,0.46
2144,371.0,19.0,7.0,Role-Playing,105.0,0.0,0.0,0.97,0.0,0.97
8176,38.0,14.0,26.0,Action,25.0,0.0,0.0,0.18,0.0,0.18
13443,216.0,1.0,28.0,Action,126.0,0.0,0.04,0.0,0.0,0.05
680,361.0,13.0,16.0,Action,25.0,1.08,0.7,0.34,0.21,2.34
6761,520.0,6.0,20.0,Role-Playing,9.0,0.19,0.05,0.0,0.01,0.25
13539,413.0,10.0,25.0,Racing,37.0,0.0,0.04,0.0,0.01,0.04
2633,385.0,5.0,17.0,Platform,125.0,0.56,0.21,0.0,0.01,0.78
15546,341.0,1.0,27.0,Action,59.0,0.0,0.0,0.02,0.0,0.02
842,90.0,14.0,23.0,Action,40.0,1.05,0.67,0.0,0.3,2.02
2172,301.0,14.0,28.0,Fighting,87.0,0.32,0.33,0.15,0.15,0.96
946,2.0,5.0,20.0,Misc,111.0,1.31,0.49,0.0,0.03,1.83
8390,497.0,12.0,11.0,Sports,53.0,0.09,0.06,0.0,0.01,0.17
9669,66.0,3.0,,Simulation,122.0,0.12,0.0,0.0,0.01,0.12
1713,481.0,5.0,16.0,Sports,9.0,0.85,0.31,0.0,0.02,1.18
14038,52.0,10.0,13.0,Strategy,125.0,0.0,0.03,0.0,0.01,0.04
7934,315.0,14.0,28.0,Strategy,116.0,0.0,0.0,0.19,0.0,0.19
14572,519.0,10.0,24.0,Simulation,111.0,0.0,0.02,0.0,0.01,0.03
2005,219.0,22.0,24.0,Action,9.0,0.62,0.33,0.0,0.09,1.04
3754,447.0,20.0,23.0,Role-Playing,87.0,0.22,0.05,0.24,0.03,0.54
13484,39.0,20.0,22.0,Shooter,39.0,0.04,0.0,0.0,0.0,0.04
4045,486.0,20.0,24.0,Shooter,9.0,0.24,0.2,0.0,0.05,0.49
7095,46.0,13.0,23.0,Action,111.0,0.11,0.09,0.0,0.03,0.23
8822,181.0,3.0,25.0,Puzzle,14.0,0.09,0.04,0.0,0.01,0.15
396,255.0,15.0,30.0,Action,67.0,1.08,1.35,0.48,0.47,3.38
2973,390.0,5.0,19.0,Action,9.0,0.49,0.18,0.0,0.01,0.68
10968,334.0,3.0,26.0,Adventure,50.0,0.09,0.0,0.0,0.01,0.09
10859,148.0,3.0,24.0,Action,87.0,0.0,0.0,0.09,0.0,0.09
410,20.0,15.0,30.0,Action,120.0,0.8,1.92,0.06,0.5,3.28
13906,378.0,10.0,24.0,Action,111.0,0.0,0.03,0.0,0.01,0.04
16561,347.0,10.0,22.0,Sports,67.0,0.0,0.01,0.0,0.0,0.01
11766,529.0,17.0,30.0,Role-Playing,116.0,0.0,0.0,0.07,0.0,0.07
9436,505.0,3.0,22.0,Misc,25.0,0.0,0.0,0.13,0.0,0.13
15407,428.0,13.0,25.0,Action,99.0,0.0,0.0,0.02,0.0,0.02
8927,470.0,17.0,29.0,Adventure,117.0,0.1,0.0,0.01,0.03,0.15
16479,107.0,22.0,26.0,Shooter,26.0,0.0,0.0,0.01,0.0,0.01
13981,171.0,5.0,20.0,Action,87.0,0.03,0.01,0.0,0.0,0.04
9681,5.0,14.0,26.0,Sports,101.0,0.0,0.1,0.0,0.03,0.12
1612,32.0,20.0,22.0,Action,31.0,0.55,0.55,0.0,0.13,1.23
3942,367.0,0.0,4.0,Shooter,9.0,0.47,0.03,0.0,0.01,0.51
5156,259.0,4.0,12.0,Strategy,6.0,0.0,0.0,0.37,0.0,0.37
